Date,ca,fr,ge,it,jp,uk,us
2005/1/6,-0.212943,-0.102514,0.179185,-0.471054,-0.794924,-0.306033,0.342694
2005/1/7,-0.694416,-0.394612,-0.568523,-0.700189,-0.161152,0.233800,-0.125126
2005/1/10,1.032443,0.419684,0.160658,0.298604,0.358287,0.148442,0.357804
2005/1/11,0.523392,-0.296094,-0.750091,-0.704666,1.491460,-0.323894,-0.628802
2005/1/12,1.546059,0.218946,-0.148312,0.859360,0.564908,0.187290,0.420717
2005/1/13,-0.549825,-0.133680,-0.506772,0.157313,-0.797614,-0.275528,-0.851358
2005/1/14,-0.733593,-0.322702,-0.347269,-0.120312,0.276325,-0.211683,0.614147
2005/1/17,0.123346,0.587407,0.242125,0.101937,0.712323,0.011982,0.000000
2005/1/18,0.111808,-0.564556,-0.281344,-0.518938,-0.977449,-0.078087,0.956182
2005/1/19,-0.658431,-0.031679,-0.010063,0.427015,-0.012682,0.448743,-0.961220
2005/1/20,-0.866903,-1.343432,-1.223368,-0.808259,-1.679941,-0.639723,-0.732918
2005/1/21,0.583618,0.652322,0.233313,0.673695,-0.238384,-0.027830,-0.639411
2005/1/24,0.438451,0.205409,0.026358,-0.196240,1.016400,0.533432,-0.358630
2005/1/25,-0.879548,0.167067,0.107185,-0.075074,-1.437833,0.024255,0.363191
2005/1/26,1.265355,0.895049,0.490029,0.600246,1.841716,1.006227,0.512976
2005/1/27,-0.503148,0.034823,-0.252981,-0.429462,-0.695035,0.379951,0.001361
2005/1/28,-0.875778,-0.668430,-0.765356,-0.573989,-0.336814,-0.600804,-0.277399
2005/1/31,0.917745,1.258018,1.465135,1.232044,0.470157,0.569168,0.828455
2005/2/1,0.532781,0.435788,0.314199,0.351039,-0.556871,0.785342,0.669923
2005/2/2,0.457632,0.546746,0.655953,0.511145,0.465399,0.500445,0.320197
2005/2/3,-0.225738,-1.193810,-0.968345,-0.667822,-1.054935,-0.413784,-0.312758
2005/2/4,0.139301,0.598441,1.222341,0.922921,0.666299,0.964435,1.141142
2005/2/7,-0.332592,-0.184057,-0.277182,-0.535936,-0.012755,-0.344954,-0.122002
2005/2/8,0.512912,-0.497256,-0.376321,-0.121063,-1.172456,-0.218021,0.068999
2005/2/9,0.220617,-0.094169,-0.284876,-0.079439,0.232757,-0.026195,-0.872460
2005/2/10,1.925496,0.799236,0.448536,0.932458,0.648490,0.898496,0.410286
2005/2/11,0.716299,1.050169,0.909319,0.458690,-0.085224,0.535653,0.692683
2005/2/14,0.593118,0.566350,0.673879,0.647075,1.308088,1.075800,0.085056
2005/2/15,-0.325362,0.485324,0.304104,0.245813,0.433409,0.322677,0.314044
2005/2/16,0.249694,-0.383690,-0.546024,-0.568329,-0.912952,-0.600590,0.009691
2005/2/17,0.829312,0.567246,0.660208,0.583982,-0.369633,0.682947,-0.796701
2005/2/18,0.627340,0.587673,-0.176339,-0.535767,0.317412,0.162435,0.077312
2005/2/21,-0.070711,-0.150157,-0.088248,-1.132789,0.268022,0.152308,0.000000
2005/2/22,-0.252769,0.626251,0.497139,0.540652,0.851283,-0.061775,-1.472860
2005/2/23,-0.505151,-0.811669,-0.541906,-0.516883,-1.767465,-0.830060,0.553323
2005/2/24,-0.546252,0.134202,-0.065423,0.278360,-0.018784,-0.189531,0.789909
2005/2/25,1.700937,1.311872,0.915089,0.893583,1.063999,1.117666,0.954056
2005/2/28,-0.144348,0.432511,0.701890,0.909343,1.713893,-0.180722,-0.655543
2005/3/1,-0.465521,-0.037480,0.048756,-0.365002,-0.029247,0.334398,0.554468
2005/3/2,0.821677,-0.383115,-0.342397,-0.632364,0.079725,-0.670001,-0.017355
2005/3/3,0.285663,0.067565,-0.377084,0.029881,0.155109,0.357682,0.005815
2005/3/4,2.082943,1.607878,1.982064,1.676871,0.701495,1.347020,0.968089
2005/3/7,-0.420549,-0.032311,-0.340636,-0.255930,-0.090614,-0.792661,0.289948
2005/3/8,1.638235,0.635950,0.454048,0.571167,0.366035,0.536773,-0.471681
2005/3/9,-0.635213,-0.315093,-0.326808,-0.176073,1.035381,-0.832441,-1.035104
2005/3/10,-0.874336,-0.405855,-0.545438,-0.428678,-0.754687,-0.583645,0.175776
2005/3/11,0.092176,0.626741,0.838824,0.303420,0.477507,0.563114,-0.739242
2005/3/14,-0.062961,-0.661079,-0.551097,-0.540008,-1.402331,-0.908843,0.635597
2005/3/15,0.031067,0.288058,0.037797,0.466542,0.291202,0.723122,-0.741701
2005/3/16,-0.074614,-0.582400,-0.848819,-0.336084,0.727629,-0.571171,-0.837131
2005/3/17,0.930538,-0.069778,-0.246864,-0.186787,-1.034611,-0.517915,0.169134
2005/3/18,-0.742065,-0.211428,-0.424880,0.041757,0.474458,-0.355946,-0.036884
2005/3/21,-1.156880,-1.266631,-1.489195,-0.436553,-0.161974,-0.808149,-0.453836
2005/3/22,0.501319,0.498366,0.678341,0.259951,0.002791,0.234989,-1.005985
2005/3/23,-2.062049,-1.861791,-1.556711,-1.564528,-1.423983,-1.932140,0.046871
2005/3/24,-0.267148,0.796910,0.296285,0.348463,-1.018594,0.082894,-0.054504
2005/3/25,0.000000,0.000000,0.000000,0.000000,0.460957,0.000000,0.000000
2005/3/28,-0.947104,-0.704258,-0.704237,-0.704379,-0.449354,-0.227540,0.243039
2005/3/29,-0.078002,0.382426,0.448244,0.597688,-2.029823,0.356015,-0.741398
2005/3/30,0.655852,-0.071704,0.321440,0.460112,-0.370123,0.075749,1.358497
2005/3/31,1.991021,0.360455,0.350386,0.598736,1.341720,0.186976,-0.070112
2005/4/1,-0.043987,0.080000,0.326760,0.343574,0.072552,0.357417,-0.653732
2005/4/4,-0.705385,-1.693942,-1.797094,-1.409419,-1.169277,-1.227865,0.242075
2005/4/5,-0.009868,0.894670,0.590730,0.525394,0.528809,1.075761,0.446088
2005/4/6,0.512023,0.533012,0.510378,0.173858,0.428483,0.139352,0.219557
2005/4/7,-0.321483,0.820089,0.343112,1.504345,0.331229,0.553942,0.616123
2005/4/8,-0.823822,-0.431983,-0.094542,-0.696061,0.050398,0.026383,-0.844062
2005/4/11,-0.155386,0.672299,0.722523,0.997158,-0.248937,0.575707,-0.012799
2005/4/12,-0.626762,-1.052374,-1.123561,-1.167446,-1.282528,-0.747832,0.578269
2005/4/13,-1.337681,0.538200,0.844141,0.145669,0.573914,0.617199,-1.182842
2005/4/14,-1.189268,-0.892127,-0.787084,-1.032126,-1.430717,-0.944207,-1.007021
2005/4/15,-1.336834,-0.992070,-1.268732,-1.375866,-0.816225,-0.454633,-1.608573
2005/4/18,0.301337,-1.460912,-1.901872,-2.112528,-3.465175,-0.792215,0.278965
2005/4/19,1.254868,0.529738,0.272391,0.307207,1.692964,1.256426,0.617530
2005/4/20,-0.153953,-0.009888,-0.248282,0.105545,0.560224,-0.656232,-1.314211
2005/4/21,0.686620,0.328971,0.638017,0.762397,-0.868646,-0.290409,1.922083
2005/4/22,-0.198473,0.492541,0.426343,0.259550,1.524835,0.762192,-0.668687
2005/4/25,0.073885,-0.468043,-0.229105,-0.721733,0.454197,0.093423,0.853378
2005/4/26,-0.420982,-0.125534,-0.543204,-0.328745,-0.613094,-0.857255,-0.853286
2005/4/27,-1.128438,-1.636848,-1.428515,-1.049183,0.039010,-1.029727,0.398549
2005/4/28,-0.865214,-0.770278,-0.967379,-0.561914,0.021279,0.050314,-1.154670
